id,club_name,country,player_name,age,position,club_involved_name,club_involved_country,transfer_movement,transfer_period,year
1953,Khaleej FC,Saudi Arabia,Abdulmuttaleb Al-Traidi,32.0,Right-Back,Al-Ettifaq,Saudi Arabia,in,Summer,2014
1954,Khaleej FC,Saudi Arabia,Hattan Bahebri,21.0,Left Winger,Ittihad Club,Saudi Arabia,in,Summer,2014
1955,Khaleej FC,Saudi Arabia,Murtadha Al-Burayh,24.0,Centre-Back,Al-Ettifaq,Saudi Arabia,in,Summer,2014
1956,Khaleej FC,Saudi Arabia,Jehad Al-Zuwed,25.0,Attacking Midfield,Al-Fayha,Saudi Arabia,out,Summer,2014
1957,Khaleej FC,Saudi Arabia,Saleh Bashir,32.0,Centre-Forward,Al-Ettifaq,Saudi Arabia,out,Summer,2014
1958,Khaleej FC,Saudi Arabia,Hazaa Al-Hazaa,22.0,Centre-Forward,Al-Ettifaq,Saudi Arabia,out,Summer,2014
1959,Al-Nassr FC,Saudi Arabia,Hernane,28.0,Centre-Forward,Flamengo,Brazil,in,Summer,2014
1960,Al-Nassr FC,Saudi Arabia,Adrian Mierzejewski,27.0,Attacking Midfield,Trabzonspor,Turkey,in,Summer,2014
1961,Al-Nassr FC,Saudi Arabia,Marquinhos Gabriel,23.0,Attacking Midfield,Coimbra,Portugal,in,Summer,2014
1962,Al-Nassr FC,Saudi Arabia,Ahmed Al-Fraidi,26.0,Attacking Midfield,Ittihad Club,Saudi Arabia,in,Summer,2014
1963,Al-Nassr FC,Saudi Arabia,Abdulaziz Al-Jebreen,24.0,Defensive Midfield,Al-Raed,Saudi Arabia,in,Summer,2014
1964,Al-Nassr FC,Saudi Arabia,Saleh Al-Ohaymid,16.0,Goalkeeper,Al-Nojoom FC,Saudi Arabia,in,Summer,2014
1965,Al-Nassr FC,Saudi Arabia,Musab Al-Otaibi,22.0,Defensive Midfield,Al-Nassr FC U23,Saudi Arabia,in,Summer,2014
1966,Al-Nassr FC,Saudi Arabia,Ahmed Al-Gizani,22.0,Second Striker,Al-Hazem,Saudi Arabia,in,Summer,2014
1967,Al-Nassr FC,Saudi Arabia,Yuseef Khamees,24.0,Left-Back,Najran SC,Saudi Arabia,in,Summer,2014
1968,Al-Nassr FC,Saudi Arabia,Abdoh Otayf,30.0,Attacking Midfield,Al-Shabab,Saudi Arabia,out,Summer,2014
1969,Al-Nassr FC,Saudi Arabia,Amad Al-Hosni,30.0,Centre-Forward,Saham Club,Saudi Arabia,out,Summer,2014
1970,Al-Nassr FC,Saudi Arabia,Yuseef Khamees,25.0,Left-Back,Al-Fateh,Saudi Arabia,out,Summer,2014
1971,Al-Nassr FC,Saudi Arabia,Mohammed Noor,36.0,Attacking Midfield,Ittihad Club,Saudi Arabia,out,Summer,2014
1972,Al-Nassr FC,Saudi Arabia,Bader Al-Deayea,25.0,Goalkeeper,,,out,Summer,2014
1973,Al-Nassr FC,Saudi Arabia,Abdulmohsen Al-Asiri,24.0,Defensive Midfield,Al-Raed,Saudi Arabia,out,Summer,2014
1974,Al-Nassr FC,Saudi Arabia,Ali Al-Khaibari,24.0,Centre-Back,Al-Orobah FC,Saudi Arabia,out,Summer,2014
1975,Al-Nassr FC,Saudi Arabia,Turki Sufyani,22.0,Centre-Forward,Al-Orobah FC,Saudi Arabia,out,Summer,2014
1976,Al-Nassr FC,Saudi Arabia,Mourad Delhoum,29.0,Defensive Midfield,ES Sétif,Algeria,out,Summer,2014
1977,Al-Nassr FC,Saudi Arabia,Élton,28.0,Centre-Forward,Corinthians,Brazil,out,Summer,2014
1978,Al-Orobah FC,Saudi Arabia,Emmanuel Banahene,25.0,Centre-Forward,Sanliurfaspor,Turkey,in,Summer,2014
1979,Al-Orobah FC,Saudi Arabia,Basem Al-Shereaf,29.0,Right-Back,Al-Taawoun,Saudi Arabia,in,Summer,2014
1980,Al-Orobah FC,Saudi Arabia,Waleed Al-Gizani,33.0,Centre-Forward,Shoalah,Azerbaijan,in,Summer,2014
1981,Al-Orobah FC,Saudi Arabia,Ali Otayf,27.0,Midfield,Al-Ettifaq,Saudi Arabia,in,Summer,2014
1982,Al-Orobah FC,Saudi Arabia,Ali Al-Zubaidi,27.0,Defensive Midfield,Al-Faisaly FC,Saudi Arabia,in,Summer,2014
1983,Al-Orobah FC,Saudi Arabia,Abdoh Bernaoy,30.0,Left-Back,Al-Faisaly FC,Saudi Arabia,in,Summer,2014
1984,Al-Orobah FC,Saudi Arabia,Walid Jahdali,32.0,Centre-Back,Al-Shabab,Saudi Arabia,in,Summer,2014
1985,Al-Orobah FC,Saudi Arabia,Fahad Barakh Al-Johani,22.0,Centre-Back,Al-Ettifaq,Saudi Arabia,in,Summer,2014
1986,Al-Orobah FC,Saudi Arabia,Mohammed Rabie,32.0,Goalkeeper,Abha,Saudi Arabia,in,Summer,2014
1987,Al-Orobah FC,Saudi Arabia,Hosam Al-Harthi,22.0,Midfield,Al-Hilal U23,Saudi Arabia,in,Summer,2014
1988,Al-Orobah FC,Saudi Arabia,Ibrahim Hazzazi,29.0,Right-Back,Al-Ettifaq,Saudi Arabia,in,Summer,2014
1989,Al-Orobah FC,Saudi Arabia,Ali Al-Khaibari,24.0,Centre-Back,Al-Nassr,Saudi Arabia,in,Summer,2014
1990,Al-Orobah FC,Saudi Arabia,Turki Sufyani,22.0,Centre-Forward,Al-Nassr,Saudi Arabia,in,Summer,2014
1991,Al-Orobah FC,Saudi Arabia,Mus'ab Al-Laham,24.0,Attacking Midfield,Najran SC,Saudi Arabia,in,Summer,2014
1992,Al-Orobah FC,Saudi Arabia,Moussa Narry,28.0,Defensive Midfield,Free Agent,Free Agent,in,Summer,2014
1993,Al-Orobah FC,Saudi Arabia,Majed Abumalihah,28.0,Goalkeeper,Najran SC,Saudi Arabia,in,Summer,2014
1994,Al-Orobah FC,Saudi Arabia,Abdo Al-Basisi,36.0,Goalkeeper,Ohod Club,Saudi Arabia,out,Summer,2014
1995,Al-Orobah FC,Saudi Arabia,Ibrahim Salah,27.0,Defensive Midfield,Zamalek,Egypt,out,Summer,2014
1996,Al-Orobah FC,Saudi Arabia,Khalid Al-Dawsari,28.0,Centre-Back,Hajer,Saudi Arabia,out,Summer,2014
1997,Al-Orobah FC,Saudi Arabia,Charles Edoa,24.0,Centre-Forward,Al-Tai,Saudi Arabia,out,Summer,2014
1998,Al-Orobah FC,Saudi Arabia,Hamzah Al-Shanqiti,25.0,Attack,Al-Tai,Saudi Arabia,out,Summer,2014
1999,Al-Orobah FC,Saudi Arabia,Oday Amro,26.0,Right-Back,Hajer,Saudi Arabia,out,Summer,2014
2000,Al-Orobah FC,Saudi Arabia,Sultan Al-Yami,27.0,Centre-Back,Shoalah,Azerbaijan,out,Summer,2014
2001,Al-Orobah FC,Saudi Arabia,Abdulrahim Al-Dabbas,26.0,Right Midfield,Hajer,Saudi Arabia,out,Summer,2014
2002,Al-Orobah FC,Saudi Arabia,Mousa Al-Shamri,28.0,Attack,Al-Shabab,Saudi Arabia,out,Summer,2014
2003,Al-Orobah FC,Saudi Arabia,Abdallah Deeb,27.0,Right Winger,Al-Riffa SC,Bahrain,out,Summer,2014
2004,Al-Orobah FC,Saudi Arabia,Jean Bapidi,25.0,Centre-Back,JS Saoura,France,out,Summer,2014
2005,Al-Orobah FC,Saudi Arabia,Marquinhos,32.0,Attack,Free Agent,Free Agent,out,Summer,2014
2006,Al-Orobah FC,Saudi Arabia,Issiaka Eliassou,28.0,Centre-Back,El Masry,Egypt,out,Summer,2014
2007,Al-Orobah FC,Saudi Arabia,Ali Madhali,23.0,Centre-Forward,Ittihad Club,Saudi Arabia,out,Summer,2014
2008,Al-Raed SFC,Saudi Arabia,N'Diaye Papa Waigo,30.0,Right Winger,Al-Ettifaq,Saudi Arabia,in,Summer,2014
2009,Al-Raed SFC,Saudi Arabia,Tamim Al-Dowsari,25.0,Midfield,Shoalah,Azerbaijan,in,Summer,2014
2010,Al-Raed SFC,Saudi Arabia,Mohammed Al-Burayk,21.0,Right-Back,Al-Hilal,Saudi Arabia,in,Summer,2014
2011,Al-Raed SFC,Saudi Arabia,Riyadh Al Oraini,24.0,Midfield,Al-Hazem,Saudi Arabia,in,Summer,2014
2012,Al-Raed SFC,Saudi Arabia,Abdulmohsen Al-Asiri,24.0,Defensive Midfield,Al-Nassr,Saudi Arabia,in,Summer,2014
2013,Al-Raed SFC,Saudi Arabia,Ahmad Mefleh,27.0,Midfield,Shoalah,Azerbaijan,in,Summer,2014
2014,Al-Raed SFC,Saudi Arabia,Salman Hazazi,27.0,Right-Back,Al-Qadsiah FC,Saudi Arabia,in,Summer,2014
2015,Al-Raed SFC,Saudi Arabia,Anas Bani Yassen,25.0,Centre-Back,Al-Arabi Irbid,Qatar,in,Summer,2014
2016,Al-Raed SFC,Saudi Arabia,Sanad Shrahilee,28.0,Centre-Back,Al-Taawoun,Saudi Arabia,in,Summer,2014
2017,Al-Raed SFC,Saudi Arabia,Hassan Al-Tir,31.0,Attack,Shoalah,Azerbaijan,in,Summer,2014
2018,Al-Raed SFC,Saudi Arabia,Mohammed Al-Sahli,28.0,Right Winger,Al-Qaisumah FC,Saudi Arabia,in,Summer,2014
2019,Al-Raed SFC,Saudi Arabia,Hadi Yahya,24.0,Centre-Back,Al-Shabab,Saudi Arabia,in,Summer,2014
2020,Al-Raed SFC,Saudi Arabia,Abdulrahman Al-Barakah,23.0,Defensive Midfield,Al-Shabab,Saudi Arabia,in,Summer,2014
2021,Al-Raed SFC,Saudi Arabia,Fahad Naji,22.0,Defence,Al-Raed U23,Saudi Arabia,in,Summer,2014
2022,Al-Raed SFC,Saudi Arabia,Abdullah Hadhereti,21.0,Centre-Forward,Al-Raed U23,Saudi Arabia,in,Summer,2014
2023,Al-Raed SFC,Saudi Arabia,Faris Al-Ayaf,22.0,Central Midfield,Al-Raed U23,Saudi Arabia,in,Summer,2014
2024,Al-Raed SFC,Saudi Arabia,Abdul Sallam Amur,26.0,Centre-Back,FC Baniyas,United Arab Emirates,in,Summer,2014
2025,Al-Raed SFC,Saudi Arabia,Bruno Moreno,28.0,Defensive Midfield,Tricordiano-MG,Brazil,out,Summer,2014
2026,Al-Raed SFC,Saudi Arabia,Sulaiman Al-Abdullah,24.0,Midfield,,,out,Summer,2014
2027,Al-Raed SFC,Saudi Arabia,Mohammad Khojahali,41.0,Goalkeeper,Al-Fayha,Saudi Arabia,out,Summer,2014
2028,Al-Raed SFC,Saudi Arabia,Fahad Al-Sobaie,24.0,Midfield,Najran SC,Saudi Arabia,out,Summer,2014
2029,Al-Raed SFC,Saudi Arabia,Yehea Yeasen,23.0,Attack,,,out,Summer,2014
2030,Al-Raed SFC,Saudi Arabia,Mohamed Al-Dobeeb,24.0,Midfield,,,out,Summer,2014
2031,Al-Raed SFC,Saudi Arabia,Hussain Al-Hadhri,24.0,Right Winger,Dhofar Club,Saudi Arabia,out,Summer,2014
2032,Al-Raed SFC,Saudi Arabia,Abdul Sallam Amur,26.0,Centre-Back,Al-Orouba SC,Saudi Arabia,out,Summer,2014
2033,Al-Raed SFC,Saudi Arabia,Abdulaziz Al-Jebreen,24.0,Defensive Midfield,Al-Nassr,Saudi Arabia,out,Summer,2014
2034,Al-Raed SFC,Saudi Arabia,Issoumaila Dao,30.0,Centre-Back,Retired,Retired,out,Summer,2014
2035,Al-Raed SFC,Saudi Arabia,Abdullah Al-Jadani,23.0,Goalkeeper,Al-Ahli SFC,Saudi Arabia,out,Summer,2014
2036,Al-Raed SFC,Saudi Arabia,Ahmad Boabeed,28.0,Left Winger,Al-Fateh,Saudi Arabia,out,Summer,2014
2037,Al-Raed SFC,Saudi Arabia,Husein Al-Shuwaish,25.0,Centre-Back,Hajer,Saudi Arabia,out,Summer,2014
2038,Al-Raed SFC,Saudi Arabia,Mohammed Al-Burayk,22.0,Right-Back,Al-Hilal,Saudi Arabia,out,Summer,2014
2039,Al-Shabab FC,Saudi Arabia,Mbaye Diagne,22.0,Centre-Forward,Juventus,Romania,in,Summer,2014
2040,Al-Shabab FC,Saudi Arabia,Abdoh Otayf,30.0,Attacking Midfield,Al-Nassr,Saudi Arabia,in,Summer,2014
2041,Al-Shabab FC,Saudi Arabia,Sultan Al-Deayea,22.0,Centre-Back,Al-Hilal,Saudi Arabia,in,Summer,2014
2042,Al-Shabab FC,Saudi Arabia,Abdullah Al-Dawsari,24.0,Right-Back,Al-Hilal,Saudi Arabia,in,Summer,2014
2043,Al-Shabab FC,Saudi Arabia,Mousa Al-Shamri,28.0,Attack,Al-Orobah FC,Saudi Arabia,in,Summer,2014
2044,Al-Shabab FC,Saudi Arabia,Tareq Khattab,22.0,Centre-Back,Al-Wehdat SC,Saudi Arabia,in,Summer,2014
2045,Al-Shabab FC,Saudi Arabia,Mohammed Awaji,20.0,Goalkeeper,Al-Shabab U23,Saudi Arabia,in,Summer,2014
2046,Al-Shabab FC,Saudi Arabia,Mansour Jawhar,19.0,Goalkeeper,Al-Shabab U23,Saudi Arabia,in,Summer,2014
2047,Al-Shabab FC,Saudi Arabia,Mohammed Al-Owais,22.0,Goalkeeper,Al-Shabab U23,Saudi Arabia,in,Summer,2014
2048,Al-Shabab FC,Saudi Arabia,Chu-young Park,29.0,Centre-Forward,Free Agent,Free Agent,in,Summer,2014
2049,Al-Shabab FC,Saudi Arabia,Abdulaziz Al-Bishi,20.0,Right Winger,Al-Shabab U23,Saudi Arabia,in,Summer,2014
2050,Al-Shabab FC,Saudi Arabia,Saleh Al-Qumayzi,23.0,Right-Back,Ittihad Club,Saudi Arabia,in,Summer,2014
2051,Al-Shabab FC,Saudi Arabia,Muhannad Assiri,27.0,Centre-Forward,Al-Ahli SFC,Saudi Arabia,out,Summer,2014
2052,Al-Shabab FC,Saudi Arabia,Sager Otayf,23.0,Attacking Midfield,Al-Wehda,Saudi Arabia,out,Summer,2014
2053,Al-Shabab FC,Saudi Arabia,Fernando,33.0,Defensive Midfield,Club Brugge,Belgium,out,Summer,2014
2054,Al-Shabab FC,Saudi Arabia,Hadi Yahya,24.0,Centre-Back,Al-Raed,Saudi Arabia,out,Summer,2014
2055,Al-Shabab FC,Saudi Arabia,Walid Jahdali,32.0,Centre-Back,Al-Orobah FC,Saudi Arabia,out,Summer,2014
2056,Al-Shabab FC,Saudi Arabia,Ibrahim Zaied,24.0,Goalkeeper,Al-Faisaly FC,Saudi Arabia,out,Summer,2014
2057,Al-Shabab FC,Saudi Arabia,Fahad Al Dossari,24.0,Centre-Forward,,,out,Summer,2014
2058,Al-Shabab FC,Saudi Arabia,Abdulrahman Al-Barakah,23.0,Defensive Midfield,Al-Raed,Saudi Arabia,out,Summer,2014
2059,Al-Shabab FC,Saudi Arabia,Saleh Al-Qumayzi,22.0,Right-Back,Ittihad Club,Saudi Arabia,out,Summer,2014
2060,Al-Shabab FC,Saudi Arabia,Naif Al-Qadi,35.0,Centre-Back,Retired,Retired,out,Summer,2014
2061,Al-Shabab FC,Saudi Arabia,Imad Khalili,27.0,Centre-Forward,Helsingborgs IF,Sweden,out,Summer,2014
2062,Al-Shoalah FC,Saudi Arabia,Mohamed Al-Safri,24.0,Defensive Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2014
2063,Al-Shoalah FC,Saudi Arabia,Samuel Owusu,30.0,Centre-Forward,Radnik Surdulica,Serbia,in,Summer,2014
2064,Al-Shoalah FC,Saudi Arabia,Ahmed Adams,21.0,Centre-Back,Berekum Chelsea,Ghana,in,Summer,2014
2065,Al-Shoalah FC,Saudi Arabia,Yassen Al-Bakhit,25.0,Left Winger,Al-Faisaly FC,Saudi Arabia,in,Summer,2014
2066,Al-Shoalah FC,Saudi Arabia,Samuel Owusu,30.0,Centre-Forward,Smouha,Egypt,in,Summer,2014
2067,Al-Shoalah FC,Saudi Arabia,Andrezinho,23.0,Attacking Midfield,JMalucelli,Brazil,in,Summer,2014
2068,Al-Shoalah FC,Saudi Arabia,Majed Al-Amri,28.0,Centre-Back,Al-Ettifaq,Saudi Arabia,in,Summer,2014
2069,Al-Shoalah FC,Saudi Arabia,Sultan Al-Bargan,31.0,Defensive Midfield,Al-Ettifaq,Saudi Arabia,in,Summer,2014
2070,Al-Shoalah FC,Saudi Arabia,Sultan Al-Yami,27.0,Centre-Back,Al-Orobah FC,Saudi Arabia,in,Summer,2014
2071,Al-Shoalah FC,Saudi Arabia,Waleed Al-Gizani,33.0,Centre-Forward,Al-Orobah FC,Saudi Arabia,out,Summer,2014
2072,Al-Shoalah FC,Saudi Arabia,Tamim Al-Dowsari,25.0,Midfield,Al-Raed,Saudi Arabia,out,Summer,2014
2073,Al-Shoalah FC,Saudi Arabia,Samuel Owusu,30.0,Centre-Forward,Radnik Surdulica,Serbia,out,Summer,2014
2074,Al-Shoalah FC,Saudi Arabia,Yosef Alrshedy,25.0,Attack,,,out,Summer,2014
2075,Al-Shoalah FC,Saudi Arabia,Ahmad Al-Kaabi,26.0,Midfield,,,out,Summer,2014
2076,Al-Shoalah FC,Saudi Arabia,Abdulrahman Al-Ghamdi,27.0,Goalkeeper,,,out,Summer,2014
2077,Al-Shoalah FC,Saudi Arabia,Ahmed Al-Khair,31.0,Midfield,,,out,Summer,2014
2078,Al-Shoalah FC,Saudi Arabia,Ibrahim Sharaheli,24.0,Defence,,,out,Summer,2014
2079,Al-Shoalah FC,Saudi Arabia,Ahmad Mefleh,27.0,Midfield,Al-Raed,Saudi Arabia,out,Summer,2014
2080,Al-Shoalah FC,Saudi Arabia,Hassan Al-Tir,31.0,Attack,Al-Raed,Saudi Arabia,out,Summer,2014
2081,Al-Shoalah FC,Saudi Arabia,Mohammad Mustafa,24.0,Centre-Back,Al-Khor SC,Qatar,out,Summer,2014
2082,Al-Shoalah FC,Saudi Arabia,Mahamadou Kondo,24.0,Defensive Midfield,Free Agent,Free Agent,out,Summer,2014
2083,Al-Taawoun FC,Saudi Arabia,Ahmed Karenshi,25.0,Left Midfield,Al-Wehda,Saudi Arabia,in,Summer,2014
2084,Al-Taawoun FC,Saudi Arabia,Hardy Pinto,28.0,Centre-Forward,Mohammedan,India,in,Summer,2014
2085,Al-Taawoun FC,Saudi Arabia,Naif Mousa,27.0,Left-Back,Al-Hazem,Saudi Arabia,in,Summer,2014
2086,Al-Taawoun FC,Saudi Arabia,Basem Atallah,24.0,Goalkeeper,Al-Ahli SFC,Saudi Arabia,in,Summer,2014
2087,Al-Taawoun FC,Saudi Arabia,Sultan Al-Sawadi,21.0,Right Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2014
2088,Al-Taawoun FC,Saudi Arabia,Abdullah Kno,25.0,Centre-Back,Al-Qadsiah FC,Saudi Arabia,in,Summer,2014
2089,Al-Taawoun FC,Saudi Arabia,Rayan Belal,25.0,Centre-Forward,Al-Faisaly FC,Saudi Arabia,in,Summer,2014
2090,Al-Taawoun FC,Saudi Arabia,Bader Al-Khames,30.0,Centre-Forward,Al-Fateh,Saudi Arabia,in,Summer,2014
2091,Al-Taawoun FC,Saudi Arabia,Jehad Al-Hussien,29.0,Attacking Midfield,Dubai CSC,United Arab Emirates,in,Summer,2014
2092,Al-Taawoun FC,Saudi Arabia,Madallah Al-Olayan,19.0,Right-Back,Al-Taawoun U23,Saudi Arabia,in,Summer,2014
2093,Al-Taawoun FC,Saudi Arabia,Ahmad Al-Turky,20.0,Right Midfield,Al-Taawoun U23,Saudi Arabia,in,Summer,2014
2094,Al-Taawoun FC,Saudi Arabia,Abdulaziz Al-Zafiri,23.0,Centre-Forward,Al-Taawoun U23,Saudi Arabia,in,Summer,2014
2095,Al-Taawoun FC,Saudi Arabia,Basem Al-Shereaf,29.0,Right-Back,Al-Orobah FC,Saudi Arabia,out,Summer,2014
2096,Al-Taawoun FC,Saudi Arabia,Dario Jertec,29.0,Defensive Midfield,DNŠ Zavrč,Croatia,out,Summer,2014
2097,Al-Taawoun FC,Saudi Arabia,Alaa Al-Rishani,26.0,Defensive Midfield,Al-Faisaly FC,Saudi Arabia,out,Summer,2014
2098,Al-Taawoun FC,Saudi Arabia,Fahad Hamad,25.0,Defensive Midfield,Al-Ahli SFC,Saudi Arabia,out,Summer,2014
2099,Al-Taawoun FC,Saudi Arabia,Abdulziz Al-Hussain,24.0,Midfield,,,out,Summer,2014
2100,Al-Taawoun FC,Saudi Arabia,Naef Al-Harthee,0.0,Defence,,,out,Summer,2014
2101,Al-Taawoun FC,Saudi Arabia,Ahmad Najr Al-Harbi,32.0,Midfield,,,out,Summer,2014
2102,Al-Taawoun FC,Saudi Arabia,Sanad Shrahilee,28.0,Centre-Back,Al-Raed,Saudi Arabia,out,Summer,2014
2103,Al-Taawoun FC,Saudi Arabia,Fahad Al-Thunayyan,27.0,Goalkeeper,Al-Hilal,Saudi Arabia,out,Summer,2014
2104,Al-Taawoun FC,Saudi Arabia,Vinícius Reche,30.0,Attacking Midfield,Jeonbuk Hyundai,Korea Republic,out,Summer,2014
2105,Al-Taawoun FC,Saudi Arabia,Bader Al-Karashi,32.0,Attack,Retired,Retired,out,Summer,2014
2106,Hajer Club,Saudi Arabia,Djordje Djikanovic,30.0,Centre-Back,FK Kukësi,Albania,in,Summer,2014
2107,Hajer Club,Saudi Arabia,Abdulrahman Dagriri,24.0,Goalkeeper,Ittihad Club,Saudi Arabia,in,Summer,2014
2108,Hajer Club,Saudi Arabia,Khalid Al-Dawsari,28.0,Centre-Back,Al-Orobah FC,Saudi Arabia,in,Summer,2014
2109,Hajer Club,Saudi Arabia,Salman Al-Hariri,25.0,Left Midfield,Najran SC,Saudi Arabia,in,Summer,2014
2110,Hajer Club,Saudi Arabia,Saif Salman,22.0,Central Midfield,Ittihad Club,Saudi Arabia,in,Summer,2014
2111,Hajer Club,Saudi Arabia,Abdullah Qaisy,25.0,Right Midfield,Al-Wehda,Saudi Arabia,in,Summer,2014
2112,Hajer Club,Saudi Arabia,Aloísio,29.0,Attacking Midfield,Sampaio Corrêa,Brazil,in,Summer,2014
2113,Hajer Club,Saudi Arabia,Mohammed Al-Rashed,34.0,Centre-Forward,Al-Ettifaq,Saudi Arabia,in,Summer,2014
2114,Hajer Club,Saudi Arabia,Alaa' Al-Shaqran,27.0,Defensive Midfield,Al-Ramtha SC,Jordan,in,Summer,2014
2115,Hajer Club,Saudi Arabia,Mohammed Al-Saiari,22.0,Centre-Forward,Ittihad Club,Saudi Arabia,in,Summer,2014
2116,Hajer Club,Saudi Arabia,Naby Soumah,28.0,Centre-Forward,Difaâ El Jadida,Morocco,in,Summer,2014
2117,Hajer Club,Saudi Arabia,Oday Amro,26.0,Right-Back,Al-Orobah FC,Saudi Arabia,in,Summer,2014
2118,Hajer Club,Saudi Arabia,Mansour Gueye,28.0,Left Winger,ACS Poli,Romania,in,Summer,2014
2119,Hajer Club,Saudi Arabia,Abdulrahim Al-Dabbas,26.0,Right Midfield,Al-Orobah FC,Saudi Arabia,in,Summer,2014
2120,Hajer Club,Saudi Arabia,Mohammed Al-Omran,20.0,Goalkeeper,Hajer Club U23,Saudia Arabia,in,Summer,2014
2121,Hajer Club,Saudi Arabia,Ahmed Al-Nufili,20.0,Left-Back,Hajer Club U23,Saudia Arabia,in,Summer,2014
2122,Hajer Club,Saudi Arabia,Saleh Al-Arfaq,19.0,Centre-Forward,Hajer Club U23,Saudia Arabia,in,Summer,2014
2123,Hajer Club,Saudi Arabia,Abdularahman Al-Hurib,22.0,Defensive Midfield,Hajer Club U23,Saudia Arabia,in,Summer,2014
2124,Hajer Club,Saudi Arabia,Abdulhadi Al-Harajin,19.0,Attacking Midfield,Hajer Club U23,Saudia Arabia,in,Summer,2014
2125,Hajer Club,Saudi Arabia,Abdulrahman Al-Hurayb,22.0,Defensive Midfield,Hajer Club U23,Saudia Arabia,in,Summer,2014
2126,Hajer Club,Saudi Arabia,Husein Al-Shuwaish,25.0,Centre-Back,Al-Raed,Saudi Arabia,in,Summer,2014
2127,Hajer Club,Saudi Arabia,Faisal Al-Jamaan,28.0,Centre-Forward,Al-Fateh,Saudi Arabia,out,Summer,2014
2128,Hajer Club,Saudi Arabia,Hussain Rabie,23.0,Goalkeeper,,,out,Summer,2014
2129,Hajer Club,Saudi Arabia,Riyadh Al-Ibrahim,21.0,Centre-Forward,Ittihad Club,Saudi Arabia,out,Summer,2014
2130,Hajer Club,Saudi Arabia,Naby Soumah,28.0,Centre-Forward,Free Agent,Free Agent,out,Summer,2014
2131,Hajer Club,Saudi Arabia,Faisal Al-Dosari,29.0,Central Midfield,Al-Nahdah FC,Saudi Arabia,out,Summer,2014
2132,Najran SC,Saudi Arabia,Winnful Cobbina,23.0,Attacking Midfield,Hearts of Oak,Ghana,in,Summer,2014
2133,Najran SC,Saudi Arabia,Dramé Michailou,22.0,Left Winger,ES Sahel,France,in,Summer,2014
2134,Najran SC,Saudi Arabia,Obinna Obiefule,26.0,Centre-Forward,Hibernians FC,Malta,in,Summer,2014
2135,Najran SC,Saudi Arabia,Mohamad Sharifi,35.0,Goalkeeper,Al-Ettifaq,Saudi Arabia,in,Summer,2014
2136,Najran SC,Saudi Arabia,Abdullah Al-Jadani,23.0,Goalkeeper,Al-Ahli SFC,Saudi Arabia,in,Summer,2014
2137,Najran SC,Saudi Arabia,Jaber Al-Aameri,28.0,Goalkeeper,,,in,Summer,2014
2138,Najran SC,Saudi Arabia,Mohammed Majrashi,23.0,Second Striker,Al-Ahli SFC,Saudi Arabia,in,Summer,2014
2139,Najran SC,Saudi Arabia,Fahad Al-Sobaie,24.0,Midfield,Al-Raed,Saudi Arabia,in,Summer,2014
2140,Najran SC,Saudi Arabia,Mohsen Al-Qarni,28.0,Midfield,Al-Faisaly FC,Saudi Arabia,in,Summer,2014
2141,Najran SC,Saudi Arabia,Majed Al-Khaibari,22.0,Left-Back,Al-Ahli SFC,Saudi Arabia,in,Summer,2014
2142,Najran SC,Saudi Arabia,Faisal Zayed,23.0,Left Winger,Al-Jahra SC,Qatar,in,Summer,2014
2143,Najran SC,Saudi Arabia,Fawaz Al-Sagour,18.0,Right-Back,Najran SC U23,Saudi Arabia,in,Summer,2014
2144,Najran SC,Saudi Arabia,Moftah Al-Hamsal,20.0,Central Midfield,Najran SC U23,Saudi Arabia,in,Summer,2014
2145,Najran SC,Saudi Arabia,Abdullah Rasan,0.0,Midfield,Al-Faisaly FC,Saudi Arabia,in,Summer,2014
2146,Najran SC,Saudi Arabia,Salman Al-Hariri,25.0,Left Midfield,Hajer,Saudi Arabia,out,Summer,2014
2147,Najran SC,Saudi Arabia,Wael Ayan,29.0,Left Midfield,Ittihad Kalba,United Arab Emirates,out,Summer,2014
2148,Najran SC,Saudi Arabia,Abdulaziz Al-Azemi,23.0,Midfield,,,out,Summer,2014
2149,Najran SC,Saudi Arabia,Marjaa Al-Yami,30.0,Defence,,,out,Summer,2014
2150,Najran SC,Saudi Arabia,Yasser Ali Al Mohammed,0.0,Goalkeeper,,,out,Summer,2014
2151,Najran SC,Saudi Arabia,Saud Al-Yami,0.0,Midfield,,,out,Summer,2014
2152,Najran SC,Saudi Arabia,Awidah Al-Amry,31.0,Goalkeeper,Al-Riyadh SC,Qatar,out,Summer,2014
2153,Najran SC,Saudi Arabia,Matheus Gaúcho,21.0,Left Midfield,Juventude,Brazil,out,Summer,2014
2154,Najran SC,Saudi Arabia,Hossam Al-Jadani,24.0,Centre-Back,Khaleej,Saudi Arabia,out,Summer,2014
2155,Najran SC,Saudi Arabia,Mus'ab Al-Laham,24.0,Attacking Midfield,Al-Orobah FC,Saudi Arabia,out,Summer,2014
2156,Najran SC,Saudi Arabia,Jafar Al-Saeed,24.0,Centre-Back,Al-Fayha,Saudi Arabia,out,Summer,2014
2157,Najran SC,Saudi Arabia,Abulaziz Al-Swealem,22.0,Right Midfield,Al-Hilal U23,Saudi Arabia,out,Summer,2014
