club_name,country,player_name,age,position,club_involved_name,club_involved_country,transfer_movement,transfer_period,year,id
Al-Ettifaq FC,Saudi Arabia,Ahmed Al-Bahri,31.0,Right-Back,Al-Faisaly FC,Saudi Arabia,in,Summer,2012,1644
Al-Ettifaq FC,Saudi Arabia,Richie Hart,34.0,Attacking Midfield,Brora Rangers,England,out,Summer,2012,1645
Al-Ettifaq FC,Saudi Arabia,Sebastián Tagliabúe,27.0,Centre-Forward,Al-Shabab,Saudi Arabia,out,Summer,2012,1646
Al-Ettifaq FC,Saudi Arabia,Waleed Mojammami,26.0,Midfield,,,out,Summer,2012,1647
Al-Ettifaq FC,Saudi Arabia,Faisal Maodah,21.0,Left-Back,Najran SC,Saudi Arabia,out,Summer,2012,1648
Al-Ettifaq FC,Saudi Arabia,Sayyaf Al-Bishi,32.0,Centre-Back,Al-Shabab,Saudi Arabia,out,Summer,2012,1649
Al-Ettifaq FC,Saudi Arabia,Ahmad Saad,27.0,Left-Back,Shoalah,Azerbaijan,out,Summer,2012,1650
Al-Ettifaq FC,Saudi Arabia,Abdulmuttaleb Al-Traidi,30.0,Right-Back,Ittihad Club,Saudi Arabia,out,Summer,2012,1651
Al-Ettifaq FC,Saudi Arabia,Khaled Al-Obod,22.0,Second Striker,Khaleej,Saudi Arabia,out,Summer,2012,1652
Al-Ettifaq FC,Saudi Arabia,Ali Al-Zubaidi,20.0,Right-Back,Al-Ahli SFC,Saudi Arabia,out,Summer,2012,1653
Al-Ettifaq FC,Saudi Arabia,Ibrahim Taher Al-Ibrahim,20.0,Right Winger,Inter Zapresic,Croatia,out,Summer,2012,1654
Al-Ettifaq FC,Saudi Arabia,Saleh Al-Saqri,33.0,Left-Back,Retired,Retired,out,Summer,2012,1655
Al-Ettifaq FC,Saudi Arabia,Bruno Lazaroni,31.0,Central Midfield,Retired,Retired,out,Summer,2012,1656
Al-Ettifaq FC,Saudi Arabia,Ahmed Al-Bahri,31.0,Right-Back,Retired,Retired,out,Summer,2012,1657
Al-Ettifaq FC,Saudi Arabia,Mohamed Al-Safri,22.0,Defensive Midfield,Al-Ahli SFC U23,Saudi Arabia,out,Summer,2012,1658
Ittihad Club,Saudi Arabia,Diego Souza,27.0,Centre-Forward,Vasco da Gama,Brazil,in,Summer,2012,1659
Ittihad Club,Saudi Arabia,Anas Sharbini,25.0,Left Winger,Hajduk Split,Croatia,in,Summer,2012,1660
Ittihad Club,Saudi Arabia,Abdulmuttaleb Al-Treadi,30.0,Defence,Al-Ittifaq FC,Saudi Arabia,in,Summer,2012,1661
Ittihad Club,Saudi Arabia,Salman Al-Sibyani,22.0,Centre-Forward,Al-Wehda,Saudi Arabia,in,Summer,2012,1662
Ittihad Club,Saudi Arabia,Abdulrahman Dagriri,22.0,Goalkeeper,,,in,Summer,2012,1663
Ittihad Club,Saudi Arabia,Shafi Al-Dossari,22.0,Left-Back,Al-Hilal,Saudi Arabia,in,Summer,2012,1664
Ittihad Club,Saudi Arabia,Abdulmuttaleb Al-Traidi,30.0,Right-Back,Al-Ettifaq,Saudi Arabia,in,Summer,2012,1665
Ittihad Club,Saudi Arabia,Faouzi Abdelghani,27.0,Left Winger,Vit. Guimarães,Portugal,in,Summer,2012,1666
Ittihad Club,Saudi Arabia,Fawaz Al-Khaibari,20.0,Goalkeeper,Ittihad C. U23,Saudi Arabia,in,Summer,2012,1667
Ittihad Club,Saudi Arabia,Ahmed Asiri,20.0,Centre-Back,Ittihad C. U23,Saudi Arabia,in,Summer,2012,1668
Ittihad Club,Saudi Arabia,Modeste M'Bami,29.0,Defensive Midfield,Free Agent,Free Agent,in,Summer,2012,1669
Ittihad Club,Saudi Arabia,Mazin Ahmed Al-Huthayfi,26.0,Left Winger,Portsmouth U21,England,in,Summer,2012,1670
Ittihad Club,Saudi Arabia,Fabrice Ondama,24.0,Centre-Forward,Wydad AC,Morocco,out,Summer,2012,1671
Ittihad Club,Saudi Arabia,Ahmad Al-Zain,22.0,Right Winger,Abha,Saudi Arabia,out,Summer,2012,1672
Ittihad Club,Saudi Arabia,Abdoh Otayf,28.0,Attacking Midfield,Al-Nassr,Saudi Arabia,out,Summer,2012,1673
Ittihad Club,Saudi Arabia,Abdullah Omar,25.0,Right-Back,Al-Ahli SFC SC,Saudi Arabia,out,Summer,2012,1674
Ittihad Club,Saudi Arabia,Sultan Al-Nemri,26.0,Left Midfield,Al-Faisaly FC,Saudi Arabia,out,Summer,2012,1675
Ittihad Club,Saudi Arabia,Mohammed Al-Rashed,32.0,Centre-Forward,Al-Taawoun,Saudi Arabia,out,Summer,2012,1676
Ittihad Club,Saudi Arabia,Faouzi Abdelghani,28.0,Left Winger,Al-Khor SC,Qatar,out,Summer,2012,1677
Ittihad Club,Saudi Arabia,Faouzi Abdelghani,27.0,Left Winger,Vit. Guimarães,Portugal,out,Summer,2012,1678
Ittihad Club,Saudi Arabia,Hosny Abd Rabo,27.0,Central Midfield,Ismaily,Egypt,out,Summer,2012,1679
Al-Fateh SC,Saudi Arabia,Adnan Falatah,28.0,Left-Back,Al-Nassr,Saudi Arabia,in,Summer,2012,1680
Al-Fateh SC,Saudi Arabia,Ahmed Al Musa,31.0,Attacking Midfield,Al-Wehda,Saudi Arabia,in,Summer,2012,1681
Al-Fateh SC,Saudi Arabia,Mubark Al-Asmari,25.0,Defensive Midfield,Al-Qadsiah FC,Saudi Arabia,in,Summer,2012,1682
Al-Fateh SC,Saudi Arabia,Mubarak Al-Khodari,27.0,Attack,Hajer,Saudi Arabia,in,Summer,2012,1683
Al-Fateh SC,Saudi Arabia,Abdullah Al-Garni,24.0,Centre-Back,Al-Qadsiah FC,Saudi Arabia,in,Summer,2012,1684
Al-Fateh SC,Saudi Arabia,Nooh Al-Mousa,21.0,Central Midfield,Al-Fateh U23,Saudi Arabia,in,Summer,2012,1685
Al-Fateh SC,Saudi Arabia,Saad Al-Harbi,23.0,Central Midfield,Khaleej,Saudi Arabia,out,Summer,2012,1686
Al-Fateh SC,Saudi Arabia,Yahia Al-Kabie,25.0,Left-Back,Shoalah,Azerbaijan,out,Summer,2012,1687
Al-Fateh SC,Saudi Arabia,Jaber Hagawi,30.0,Defence,Shoalah,Azerbaijan,out,Summer,2012,1688
Al-Fateh SC,Saudi Arabia,Mohammed Al-Shahrani,30.0,Centre-Forward,Hajer,Saudi Arabia,out,Summer,2012,1689
Al-Fateh SC,Saudi Arabia,Hussein Al-Numeir,23.0,Midfield,,,out,Summer,2012,1690
Al-Fateh SC,Saudi Arabia,Ahmad Boabeed,27.0,Left Winger,Al-Raed,Saudi Arabia,out,Summer,2012,1691
Al-Fateh SC,Saudi Arabia,Hassan Al-Jubairi,21.0,Right-Back,Free Agent,Free Agent,out,Summer,2012,1692
Al-Nassr FC,Saudi Arabia,Hosny Abd Rabo,27.0,Central Midfield,Ismaily,Egypt,in,Summer,2012,1693
Al-Nassr FC,Saudi Arabia,Damián Manso,33.0,Attacking Midfield,LDU Quito,Ecuador,in,Summer,2012,1694
Al-Nassr FC,Saudi Arabia,Abdoh Otayf,28.0,Attacking Midfield,Ittihad Club,Saudi Arabia,in,Summer,2012,1695
Al-Nassr FC,Saudi Arabia,Jumaan Al-Dosari,25.0,Centre-Back,Al-Riyadh SC,Qatar,in,Summer,2012,1696
Al-Nassr FC,Saudi Arabia,Awadh Faraj,23.0,Central Midfield,Najran SC,Saudi Arabia,in,Summer,2012,1697
Al-Nassr FC,Saudi Arabia,Élton,27.0,Centre-Forward,Corinthians,Brazil,in,Summer,2012,1698
Al-Nassr FC,Saudi Arabia,Jaime Ayoví,24.0,Centre-Forward,Pachuca,Mexico,in,Summer,2012,1699
Al-Nassr FC,Saudi Arabia,Bader Al-Deayea,23.0,Goalkeeper,Al-Hilal,Saudi Arabia,in,Summer,2012,1700
Al-Nassr FC,Saudi Arabia,Ayman Fenteany,17.0,Defensive Midfield,Al-Nassr FC U23,Saudi Arabia,in,Summer,2012,1701
Al-Nassr FC,Saudi Arabia,Ahmed Al-Gizani,20.0,Second Striker,Al-Qadsiah FC,Saudi Arabia,in,Summer,2012,1702
Al-Nassr FC,Saudi Arabia,Omar Hawsawi,26.0,Centre-Back,Al-Qadsiah FC,Saudi Arabia,in,Summer,2012,1703
Al-Nassr FC,Saudi Arabia,Byung-suk Kim,26.0,Left Winger,Daejeon Citizen,Korea Republic,out,Summer,2012,1704
Al-Nassr FC,Saudi Arabia,Adnan Falatah,28.0,Left-Back,Al-Fateh,Saudi Arabia,out,Summer,2012,1705
Al-Nassr FC,Saudi Arabia,Abdulaziz Al-Azemi,21.0,Midfield,Al-Hilal,Saudi Arabia,out,Summer,2012,1706
Al-Nassr FC,Saudi Arabia,Abdulaziz Falath,26.0,Right Midfield,Al-Taawoun,Saudi Arabia,out,Summer,2012,1707
Al-Nassr FC,Saudi Arabia,Khaled Aziz,30.0,Defensive Midfield,,,out,Summer,2012,1708
Al-Nassr FC,Saudi Arabia,Kameel Webary,26.0,Goalkeeper,,,out,Summer,2012,1709
Al-Nassr FC,Saudi Arabia,Hussain Rabie,22.0,Goalkeeper,Hajer,Saudi Arabia,out,Summer,2012,1710
Al-Nassr FC,Saudi Arabia,Rayan Belal,24.0,Centre-Forward,Al-Raed,Saudi Arabia,out,Summer,2012,1711
Al-Nassr FC,Saudi Arabia,Wagner,25.0,Centre-Forward,Hidd SCC,England,out,Summer,2012,1712
Al-Nassr FC,Saudi Arabia,Juan Mercier,32.0,Defensive Midfield,San Lorenzo,Argentina,out,Summer,2012,1713
Al-Nassr FC,Saudi Arabia,Hadj Bouguèche,28.0,Centre-Forward,Al-Taawoun,Saudi Arabia,out,Summer,2012,1714
Al-Nassr FC,Saudi Arabia,Ahmad Al-Dokhi,35.0,Right-Back,Retired,Retired,out,Summer,2012,1715
Al-Nassr FC,Saudi Arabia,Abulaziz Al-Swealem,21.0,Right Midfield,Al-Hilal,Saudi Arabia,out,Summer,2012,1716
Al-Faisaly FC,Saudi Arabia,Naby Soumah,26.0,Centre-Forward,CS Sfaxien,Tunisia,in,Summer,2012,1717
Al-Faisaly FC,Saudi Arabia,Yassen Al-Bakhit,23.0,Left Winger,Al-Yarmouk,Jordan,in,Summer,2012,1718
Al-Faisaly FC,Saudi Arabia,Christophe Grondin,28.0,Defensive Midfield,KAA Gent,Belgium,in,Summer,2012,1719
Al-Faisaly FC,Saudi Arabia,Sultan Al-Dosari,21.0,Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2012,1720
Al-Faisaly FC,Saudi Arabia,Awad Al-Anazi,23.0,Attacking Midfield,Hajer,Saudi Arabia,in,Summer,2012,1721
Al-Faisaly FC,Saudi Arabia,Sultan Al-Nemri,26.0,Left Midfield,Ittihad Club,Saudi Arabia,in,Summer,2012,1722
Al-Faisaly FC,Saudi Arabia,Ismail Al-Ajmi,28.0,Centre-Forward,Kazma SC,France,in,Summer,2012,1723
Al-Faisaly FC,Saudi Arabia,Mohammed Salem,26.0,Centre-Back,Al-Qadsiah FC,Saudi Arabia,in,Summer,2012,1724
Al-Faisaly FC,Saudi Arabia,Abdullah Al-Fahad,18.0,Centre-Back,Al-Faisaly U23,Saudi Arabia,in,Summer,2012,1725
Al-Faisaly FC,Saudi Arabia,Leon Benko,28.0,Centre-Forward,HNK Rijeka,Croatia,out,Summer,2012,1726
Al-Faisaly FC,Saudi Arabia,Mohammed Al-Meniqash,21.0,Centre-Forward,Al-Mojzel,Saudi Arabia,out,Summer,2012,1727
Al-Faisaly FC,Saudi Arabia,Amer Deeb,32.0,Attacking Midfield,Ittihad Kalba,United Arab Emirates,out,Summer,2012,1728
Al-Faisaly FC,Saudi Arabia,Ahmed Dalah,25.0,Defence,Shoalah,Azerbaijan,out,Summer,2012,1729
Al-Faisaly FC,Saudi Arabia,Awidah Al-Amry,30.0,Goalkeeper,Najran SC,Saudi Arabia,out,Summer,2012,1730
Al-Faisaly FC,Saudi Arabia,Wasl Al-Thowaibi,32.0,Midfield,Shoalah,Azerbaijan,out,Summer,2012,1731
Al-Faisaly FC,Saudi Arabia,Dario Jertec,26.0,Defensive Midfield,Qadsia SC,France,out,Summer,2012,1732
Al-Faisaly FC,Saudi Arabia,Wael Ayan,27.0,Left Midfield,Najran SC,Saudi Arabia,out,Summer,2012,1733
Al-Faisaly FC,Saudi Arabia,Ahmed Al-Bahri,31.0,Right-Back,Al-Ettifaq,Saudi Arabia,out,Summer,2012,1734
Najran SC,Saudi Arabia,Hassan Al-Raheb,28.0,Second Striker,Al-Ahli SFC,Saudi Arabia,in,Summer,2012,1735
Najran SC,Saudi Arabia,Awidah Al-Amry,30.0,Goalkeeper,Al-Faisaly FC,Saudi Arabia,in,Summer,2012,1736
Najran SC,Saudi Arabia,Faisal Maodah,21.0,Left-Back,Al-Ettifaq,Saudi Arabia,in,Summer,2012,1737
Najran SC,Saudi Arabia,Raed Al-Johani,26.0,Centre-Forward,Al-Ansar,Lebanon,in,Summer,2012,1738
Najran SC,Saudi Arabia,Nawaf Al-Sabhi,22.0,Centre-Back,,,in,Summer,2012,1739
Najran SC,Saudi Arabia,Abbas Shengeeti,25.0,Left-Back,Al-Orobah FC,Saudi Arabia,in,Summer,2012,1740
Najran SC,Saudi Arabia,Majed Belal,28.0,Defence,Al-Wehda,Saudi Arabia,in,Summer,2012,1741
Najran SC,Saudi Arabia,Wael Ayan,27.0,Left Midfield,Al-Faisaly FC,Saudi Arabia,in,Summer,2012,1742
Najran SC,Saudi Arabia,Mahmoud Moaz,27.0,Right-Back,Al-Ahli SFC,Saudi Arabia,in,Summer,2012,1743
Najran SC,Saudi Arabia,Ali Al-Sagour,22.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,in,Summer,2012,1744
Najran SC,Saudi Arabia,Sahib Al-Abdullah,34.0,Defensive Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2012,1745
Najran SC,Saudi Arabia,Awadh Faraj,23.0,Central Midfield,Al-Nassr,Saudi Arabia,out,Summer,2012,1746
Najran SC,Saudi Arabia,Shaaban Al-Zubaidi,0.0,Attack,,,out,Summer,2012,1747
Najran SC,Saudi Arabia,Hussine Al-Sagour,22.0,Midfield,,,out,Summer,2012,1748
Najran SC,Saudi Arabia,Hamad Harmas,0.0,Midfield,,,out,Summer,2012,1749
Najran SC,Saudi Arabia,Bader Al-Hagbani,33.0,Midfield,,,out,Summer,2012,1750
Najran SC,Saudi Arabia,Abdulrahman Rajab,0.0,Goalkeeper,,,out,Summer,2012,1751
Najran SC,Saudi Arabia,Mousa Al-Shamri,27.0,Attack,Al-Orobah FC,Saudi Arabia,out,Summer,2012,1752
Najran SC,Saudi Arabia,Mahmoud Moaz,28.0,Right-Back,Al-Taawoun,Saudi Arabia,out,Summer,2012,1753
Najran SC,Saudi Arabia,Ahmad Mefleh,25.0,Midfield,Al-Taawoun,Saudi Arabia,out,Summer,2012,1754
Najran SC,Saudi Arabia,Dusan Djokic,32.0,Centre-Forward,Vozdovac,Serbia,out,Summer,2012,1755
Najran SC,Saudi Arabia,Ramzi Bourakba,27.0,Centre-Forward,JSM Bejaia,France,out,Summer,2012,1756
Najran SC,Saudi Arabia,Ibrahim Kabie,0.0,Defence,,,out,Summer,2012,1757
Najran SC,Saudi Arabia,Reda Benhadj Djillali,34.0,Defensive Midfield,CS Constantine,Algeria,out,Summer,2012,1758
Najran SC,Saudi Arabia,Ali Al-Sagour,22.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,out,Summer,2012,1759
Najran SC,Saudi Arabia,Hani Al-Owedh,39.0,Goalkeeper,Retired,Retired,out,Summer,2012,1760
Al-Raed SFC,Saudi Arabia,Xuxa,30.0,Attacking Midfield,EC Vitória,Slovakia,in,Summer,2012,1761
Al-Raed SFC,Saudi Arabia,Rayan Belal,24.0,Centre-Forward,Al-Nassr,Saudi Arabia,in,Summer,2012,1762
Al-Raed SFC,Saudi Arabia,Fawaz Fallatah,23.0,Centre-Back,Al-Hilal,Saudi Arabia,in,Summer,2012,1763
Al-Raed SFC,Saudi Arabia,Abdullah Al-Jadani,22.0,Goalkeeper,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2012,1764
Al-Raed SFC,Saudi Arabia,Ahmad Boabeed,27.0,Left Winger,Al-Fateh,Saudi Arabia,in,Summer,2012,1765
Al-Raed SFC,Saudi Arabia,Husein Al-Shuwaish,24.0,Centre-Back,Hajer,Saudi Arabia,in,Summer,2012,1766
Al-Raed SFC,Saudi Arabia,Basem Al-Shereaf,27.0,Right-Back,Al-Taawoun,Saudi Arabia,out,Summer,2012,1767
Al-Raed SFC,Saudi Arabia,Leandrinho,26.0,Centre-Forward,CSD Municipal,Guatemala,out,Summer,2012,1768
Al-Raed SFC,Saudi Arabia,Yahya Al-Muslem,25.0,Centre-Back,Al-Hilal,Saudi Arabia,out,Summer,2012,1769
Al-Raed SFC,Saudi Arabia,Abdulmajeed Abdullah Al-Ruwaili,25.0,Central Midfield,Al-Shabab,Saudi Arabia,out,Summer,2012,1770
Al-Raed SFC,Saudi Arabia,Abdoh Hakami,29.0,Midfield,Hajer,Saudi Arabia,out,Summer,2012,1771
Al-Raed SFC,Saudi Arabia,Salman Al-Khalidi,29.0,Defence,,,out,Summer,2012,1772
Al-Raed SFC,Saudi Arabia,Ahmad Menawer,27.0,Midfield,,,out,Summer,2012,1773
Al-Raed SFC,Saudi Arabia,Naji Majrashi,28.0,Centre-Forward,Al-Riyadh SC,Qatar,out,Summer,2012,1774
Al-Raed SFC,Saudi Arabia,Abdul Sallam Amur,25.0,Centre-Back,FC Baniyas,United Arab Emirates,out,Summer,2012,1775
Al-Raed SFC,Saudi Arabia,Mohammed Eseri,0.0,Goalkeeper,Retired,Retired,out,Summer,2012,1776
Hajer Club,Saudi Arabia,Godwin Attram,31.0,Centre-Forward,Smouha,Egypt,in,Summer,2012,1777
Hajer Club,Saudi Arabia,Mansour Al-Najei,33.0,Goalkeeper,Al-Qadsiah FC,Saudi Arabia,in,Summer,2012,1778
Hajer Club,Saudi Arabia,Abdoh Hakami,29.0,Midfield,Al-Raed,Saudi Arabia,in,Summer,2012,1779
Hajer Club,Saudi Arabia,Hussein Al-Nagai,30.0,Midfield,Al-Taawoun,Saudi Arabia,in,Summer,2012,1780
Hajer Club,Saudi Arabia,Hussain Rabie,22.0,Goalkeeper,Al-Nassr,Saudi Arabia,in,Summer,2012,1781
Hajer Club,Saudi Arabia,Mohammed Al-Shahrani,30.0,Centre-Forward,Al-Fateh,Saudi Arabia,in,Summer,2012,1782
Hajer Club,Saudi Arabia,Radhi Al-Radhi,20.0,Centre-Back,Hajer Club U23,Saudia Arabia,in,Summer,2012,1783
Hajer Club,Saudi Arabia,Rico,31.0,Centre-Forward,Náutico,Brazil,out,Summer,2012,1784
Hajer Club,Saudi Arabia,Awad Al-Anazi,23.0,Attacking Midfield,Al-Faisaly FC,Saudi Arabia,out,Summer,2012,1785
Hajer Club,Saudi Arabia,Mubarak Al-Khodari,27.0,Attack,Al-Fateh,Saudi Arabia,out,Summer,2012,1786
Hajer Club,Saudi Arabia,Mustafa Al-Helo,22.0,Defence,Al-Ettifaq,Saudi Arabia,out,Summer,2012,1787
Hajer Club,Saudi Arabia,Faisal Al-Dosari,28.0,Central Midfield,Al-Nahdah FC,Saudi Arabia,out,Summer,2012,1788
Hajer Club,Saudi Arabia,Franklin Ayodele,24.0,Centre-Forward,Retired,Retired,out,Summer,2012,1789
Hajer Club,Saudi Arabia,Abdullah Al-Hawsawi,26.0,Centre-Forward,Al-Orobah FC,Saudi Arabia,out,Summer,2012,1790
Hajer Club,Saudi Arabia,Abdoh Hakami,30.0,Midfield,Al-Taawoun,Saudi Arabia,out,Summer,2012,1791
Hajer Club,Saudi Arabia,Husein Al-Shuwaish,24.0,Centre-Back,Al-Raed,Saudi Arabia,out,Summer,2012,1792
Al-Taawoun FC,Saudi Arabia,Basem Al-Shereaf,27.0,Right-Back,Al-Raed,Saudi Arabia,in,Summer,2012,1793
Al-Taawoun FC,Saudi Arabia,Mahmoud Moaz,28.0,Right-Back,Najran SC,Saudi Arabia,in,Summer,2012,1794
Al-Taawoun FC,Saudi Arabia,Hossam Al-Jadani,22.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,in,Summer,2012,1795
Al-Taawoun FC,Saudi Arabia,Mohammad Al-Basha,24.0,Centre-Back,Al-Jazeera Club,United Arab Emirates,in,Summer,2012,1796
Al-Taawoun FC,Saudi Arabia,Abdoh Hakami,30.0,Midfield,Hajer,Saudi Arabia,in,Summer,2012,1797
Al-Taawoun FC,Saudi Arabia,Abdullah Al-Ghamdi,22.0,Goalkeeper,Al-Hilal,Saudi Arabia,in,Summer,2012,1798
Al-Taawoun FC,Saudi Arabia,Hadj Bouguèche,28.0,Centre-Forward,Al-Nassr,Saudi Arabia,in,Summer,2012,1799
Al-Taawoun FC,Saudi Arabia,Alaa Al-Rishani,25.0,Defensive Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2012,1800
Al-Taawoun FC,Saudi Arabia,Thierno Bah,29.0,Defensive Midfield,Lausanne-Sport,Switzerland,in,Summer,2012,1801
Al-Taawoun FC,Saudi Arabia,Abdulaziz Al-Harbi,28.0,Defence,Al-Ansar,Lebanon,in,Summer,2012,1802
Al-Taawoun FC,Saudi Arabia,Mohammed Al-Rashed,32.0,Centre-Forward,Ittihad Club,Saudi Arabia,in,Summer,2012,1803
Al-Taawoun FC,Saudi Arabia,Ahmad Mefleh,25.0,Midfield,Najran SC,Saudi Arabia,in,Summer,2012,1804
Al-Taawoun FC,Saudi Arabia,Abdulaziz Falath,26.0,Right Midfield,Al-Nassr,Saudi Arabia,in,Summer,2012,1805
Al-Taawoun FC,Saudi Arabia,Fahad Hamad,23.0,Defensive Midfield,Al-Shabab,Saudi Arabia,in,Summer,2012,1806
Al-Taawoun FC,Saudi Arabia,Murad Al-Rashidi,21.0,Left Midfield,Al-Taawoun U23,Saudi Arabia,in,Summer,2012,1807
Al-Taawoun FC,Saudi Arabia,Mourad Al-Rashidi,21.0,Right Midfield,Al-Taawoun U23,Saudi Arabia,in,Summer,2012,1808
Al-Taawoun FC,Saudi Arabia,Faisal Al-Khaldi,31.0,Goalkeeper,Al-Nahdah FC,Saudi Arabia,out,Summer,2012,1809
Al-Taawoun FC,Saudi Arabia,Emad Hontol,24.0,Attack,,,out,Summer,2012,1810
Al-Taawoun FC,Saudi Arabia,Ali Al-Aliany,25.0,Attack,,,out,Summer,2012,1811
Al-Taawoun FC,Saudi Arabia,Hussein Al-Shehri,26.0,Midfield,,,out,Summer,2012,1812
Al-Taawoun FC,Saudi Arabia,Khaled Al-Zaydee,25.0,Midfield,,,out,Summer,2012,1813
Al-Taawoun FC,Saudi Arabia,Abdulrahman Arwan,24.0,Defence,,,out,Summer,2012,1814
Al-Taawoun FC,Saudi Arabia,Hussein Al-Nagai,30.0,Midfield,Hajer,Saudi Arabia,out,Summer,2012,1815
Al-Taawoun FC,Saudi Arabia,Salaheddine Aqqal,27.0,Right Winger,FAR Rabat,Morocco,out,Summer,2012,1816
Al-Taawoun FC,Saudi Arabia,Mohamad Amman,23.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,out,Summer,2012,1817
Al-Taawoun FC,Saudi Arabia,Fisal Al-Sultan,27.0,Attack,Al-Shabab,Saudi Arabia,out,Summer,2012,1818
Al-Taawoun FC,Saudi Arabia,Abdulaziz Al-Youssef,23.0,Centre-Forward,Al-Shabab,Saudi Arabia,out,Summer,2012,1819
Al-Taawoun FC,Saudi Arabia,Yassen Al-Bakhit,23.0,Left Winger,Al-Yarmouk,Jordan,out,Summer,2012,1820
Al-Taawoun FC,Saudi Arabia,Vianney Mabidé,23.0,Defensive Midfield,Difaâ El Jadida,Morocco,out,Summer,2012,1821
Al-Shoalah FC,Saudi Arabia,Hassan Al-Tir,29.0,Attack,Raja Casablanca,Morocco,in,Summer,2012,1822
Al-Shoalah FC,Saudi Arabia,Ahmed Dalah,25.0,Defence,Al-Faisaly FC,Saudi Arabia,in,Summer,2012,1823
Al-Shoalah FC,Saudi Arabia,Jaber Hagawi,30.0,Defence,Al-Fateh,Saudi Arabia,in,Summer,2012,1824
Al-Shoalah FC,Saudi Arabia,Ahmad Saad,27.0,Left-Back,Al-Ettifaq,Saudi Arabia,in,Summer,2012,1825
Al-Shoalah FC,Saudi Arabia,Wasl Al-Thowaibi,32.0,Midfield,Al-Faisaly FC,Saudi Arabia,in,Summer,2012,1826
Al-Shoalah FC,Saudi Arabia,Yahia Al-Kabie,25.0,Left-Back,Al-Fateh,Saudi Arabia,in,Summer,2012,1827
Al-Shoalah FC,Saudi Arabia,Philip Boampong,22.0,Centre-Back,Hearts of Oak,Ghana,in,Summer,2012,1828
Al-Shoalah FC,Saudi Arabia,Lassana Fané,24.0,Defensive Midfield,Kuwait SC,Brazil,in,Summer,2012,1829
Al-Shoalah FC,Saudi Arabia,Abdulla Fatadi,26.0,Attacking Midfield,Al-Jahra SC,Qatar,in,Summer,2012,1830
Al-Shoalah FC,Saudi Arabia,Fahad Al-Munaif,22.0,Centre-Forward,Al-Shabab,Saudi Arabia,in,Summer,2012,1831
Al-Wehda FC,Saudi Arabia,Sékou Doumbia,23.0,Centre-Back,CS Hammam-Lif,Tunisia,in,Summer,2012,1832
Al-Wehda FC,Saudi Arabia,Mohamed Bashir,28.0,Attacking Midfield,Al-Hilal,Saudi Arabia,in,Summer,2012,1833
Al-Wehda FC,Saudi Arabia,Ahmed Al-Fahmi,21.0,Goalkeeper,Al-Wehda FC U23,Saudi Arabia,in,Summer,2012,1834
Al-Wehda FC,Saudi Arabia,Abdulaziz Al-Mansour,21.0,Left-Back,Al-Wehda FC U23,Saudi Arabia,in,Summer,2012,1835
Al-Wehda FC,Saudi Arabia,Abdulrahman Al-Saeed,20.0,Centre-Back,Al-Wehda FC U23,Saudi Arabia,in,Summer,2012,1836
Al-Wehda FC,Saudi Arabia,Pa-Modou Kah,32.0,Centre-Back,Portland Timbers,United States,out,Summer,2012,1837
Al-Wehda FC,Saudi Arabia,Salman Al-Sibyani,22.0,Centre-Forward,Ittihad Club,Saudi Arabia,out,Summer,2012,1838
Al-Wehda FC,Saudi Arabia,Ahmed Al Musa,31.0,Attacking Midfield,Al-Fateh,Saudi Arabia,out,Summer,2012,1839
Al-Wehda FC,Saudi Arabia,Majed Belal,28.0,Defence,Najran SC,Saudi Arabia,out,Summer,2012,1840
Al-Shabab FC,Saudi Arabia,Muhannad Assiri,26.0,Centre-Forward,Al-Wehda,Saudi Arabia,in,Winter,2012,1841
Al-Shabab FC,Saudi Arabia,Tae-hwi Kwak,31.0,Centre-Back,Ulsan Hyundai,Korea Republic,in,Winter,2012,1842
Al-Shabab FC,Saudi Arabia,Hadi Yahya,22.0,Centre-Back,,,in,Winter,2012,1843
Al-Shabab FC,Saudi Arabia,Server Djeparov,30.0,Attacking Midfield,Seongnam FC,Korea Republic,out,Winter,2012,1844
Al-Shabab FC,Saudi Arabia,Mukhtar Fallatah,25.0,Centre-Forward,Ittihad Club,Saudi Arabia,out,Winter,2012,1845
Al-Shabab FC,Saudi Arabia,Ibrahim Zaied,23.0,Goalkeeper,Al-Hilal,Saudi Arabia,out,Winter,2012,1846
Al-Shabab FC,Saudi Arabia,Abdullah Otayf,20.0,Defensive Midfield,Al-Hilal,Saudi Arabia,out,Winter,2012,1847
Al-Shabab FC,Saudi Arabia,Khalid Awaji,22.0,Centre-Back,Hetten FC,Brazil,out,Winter,2012,1848
Al-Shabab FC,Saudi Arabia,Abdulrahman Al-Barakah,22.0,Defensive Midfield,Shoalah,Azerbaijan,out,Winter,2012,1849
Al-Ahli SFC,Saudi Arabia,Bruno César,24.0,Central Midfield,Benfica,Portugal,in,Winter,2012,1850
